season,playerId,name,age,nationality,careerPhase,competitiveStatus,isHumanPlayer,isOnMainTour,isTourCardHolder,tourCardSource,tourCardYear,yearsRemaining,expiresAfterSeason,tourSurvivalStatus,seasonOpenWorldRank,seasonCloseWorldRank,normalizedWorldRank,rawWorldRankBeforeCap,worldRank,oneYearRank,amateurRank,qTourRank,qSchoolRank,seniorRank,previousWorldRank,rankChange,overall,potential,technicalAverage,mentalAverage,physicalAverage,effectiveMatchStrength,confidence,fatigue,reputation,seasonMatches,seasonWins,seasonLosses,seasonWinPercentage,seasonTitles,seasonMajorTitles,seasonWorldChampionshipEntries,seasonBestWorldChampionshipFinish,seasonMajorQuarterFinals,seasonMajorSemiFinals,seasonMajorFinals,seasonPrizeMoney,seasonRankingPoints,careerMatches,careerWins,careerLosses,careerWinPercentage,careerTitles,careerMajorTitles,careerPrizeMoney,totalRecord,youthRecord,amateurRecord,qTourRecord,qSchoolRecord,proQualifierRecord,rankingEventRecord,majorRecord,worldQualifyingRecord,worldMainDrawRecord,playersSeriesRecord,invitationalRecord,seniorRecord,exhibitionRecord,bestWorldRank,bestWorldChampionshipFinish,worldChampionshipMainDrawEligible,worldChampionshipMainDrawEntered,worldChampionshipQualifyingEntered,reasonSkippedWorldMainDraw,availableEventsCount,eligibleEventsCount,enteredEventsCount,rankingEventsEntered,qualifierEventsEntered,majorEventsEntered,invitationalsEntered,playersSeriesEntered,qTourEventsEntered,qSchoolEventsEntered,amateurEventsEntered,youthEventsEntered,seniorEventsEntered,skippedEligibleEventsCount,skippedCoreEventsCount,skippedReasonSummary,eventAccessBand,eventVolumeBandStatus,eventVolumeWarnings,calendarValidationWarnings,tourCardValidAtSeasonOpen,tourCardValidAtSeasonClose,lifecycleCorrectionApplied,rankCapApplied,recentSeasonWins,twoYearWins,twoYearPrizeMoney,majorFinalsLastTwoYears,titlesLastTwoYears,rankingDecayApplied,stalledReason,expectedCircuit,actualCircuit,warningFlags,invalidStateReasons,validTourStatus,validEventAccess,invalidAccessReason
2029/30,human-elliot-vance,Elliot Vance,54,England,Senior,Senior Tour / Legend Circuit,true,false,false,,0,0,,Amateur,999,999,999,999,999,,,,,2,999,0,70,70,66,82,47,92,99,0,69,10,6,4,60,0,0,0,No main draw win,0,0,0,72000,33,27,11,16,40.74074074074074,0,0,148000,"{""matches"":27,""wins"":11,""losses"":16,""draws"":0,""winPercentage"":40.74074074074074,""eventsEntered"":16,""titles"":0,""finals"":0,""prizeMoney"":148000,""points"":78}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":27,""wins"":11,""losses"":16,""draws"":0,""winPercentage"":40.74074074074074,""eventsEntered"":16,""titles"":0,""finals"":0,""prizeMoney"":148000,""points"":78}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}",999,No main draw win,false,false,false,,104,14,4,0,0,0,0,0,0,0,0,0,4,10,0,10 eligible events not entered,Senior/Legend,too low,,,false,false,false,false,6,0,0,0,0,false,,amateur,senior,,,true,true,
2029/30,wp-vincent-lombardi,Vincent Lombardi,32,POL,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,1,1,1,1,1,113,,,,,1,0,92,92,94,93,91,99,60,10,50,5,2,3,40,0,,,,,,,41625,259,43,30,13,69.76744186046511,2,0,927447,"{""matches"":43,""wins"":30,""losses"":13,""draws"":0,""winPercentage"":69.76744186046511,""eventsEntered"":0,""titles"":2,""finals"":0,""prizeMoney"":927447,""points"":0}",,,,,,,,,,,,,,1,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,2,5,104063,,0,false,,mainTour,mainTour,top16-low-overall-no-results;top4-low-wins-no-results,,true,true,
2029/30,wp-kaito-nakamura,Kaito Nakamura,35,NIR,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,2,2,2,2,2,62,,,,,2,0,91,91,93,93,87,99,66,22,50,9,5,4,55.55555555555556,0,,,,,,,111578,694,48,32,16,66.66666666666666,2,0,1020477,"{""matches"":48,""wins"":32,""losses"":16,""draws"":0,""winPercentage"":66.66666666666666,""eventsEntered"":0,""titles"":2,""finals"":0,""prizeMoney"":1020477,""points"":0}",,,,,,,,,,,,,,2,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,5,9,208992,,0,false,,mainTour,mainTour,top4-low-wins-no-results,,true,true,
2029/30,wp-reuben-nakamura,Reuben Nakamura,34,PAK,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,3,3,3,3,3,97,,,,,3,0,90,90,92,91,88,99,64,13,50,6,3,3,50,0,,,,,,,64461,401,38,24,14,63.1578947368421,2,0,918429,"{""matches"":38,""wins"":24,""losses"":14,""draws"":0,""winPercentage"":63.1578947368421,""eventsEntered"":0,""titles"":2,""finals"":0,""prizeMoney"":918429,""points"":0}",,,,,,,,,,,,,,3,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,3,6,132102,,0,false,,mainTour,mainTour,top16-low-overall-no-results;top4-low-wins-no-results,,true,true,
2029/30,wp-yannick-otero,Yannick Otero,35,ENG,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,4,4,4,4,4,120,,,,,4,0,87,87,89,87,84,97,55,14,45,6,2,4,33.33333333333333,0,,,,,,,39602,246,37,21,16,56.75675675675676,0,0,855500,"{""matches"":37,""wins"":21,""losses"":16,""draws"":0,""winPercentage"":56.75675675675676,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":855500,""points"":0}",,,,,,,,,,,,,,4,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,2,5,98571,,0,false,,mainTour,mainTour,top16-low-overall-no-results;top4-low-wins-no-results,,true,true,
2029/30,wp-euan-whitaker,Euan Whitaker,37,CHN,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,5,5,5,5,5,25,,,,,5,0,91,91,92,92,87,99,67,22,46,8,5,3,62.5,0,,,,,,,121695,756,37,28,9,75.67567567567568,0,0,1027458,"{""matches"":37,""wins"":28,""losses"":9,""draws"":0,""winPercentage"":75.67567567567568,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":1027458,""points"":0}",,,,,,,,,,,,,,4,,true,true,false,,104,21,15,8,0,6,7,1,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,5,11,263914,,0,false,,mainTour,mainTour,,,true,true,
2029/30,wp-kieran-sorensen,Kieran Sorensen,36,SCO,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,6,6,6,6,6,65,,,,,6,0,89,89,91,89,86,99,58,12,45,5,2,3,40,0,,,,,,,55211,343,34,23,11,67.64705882352942,0,0,956594,"{""matches"":34,""wins"":23,""losses"":11,""draws"":0,""winPercentage"":67.64705882352942,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":956594,""points"":0}",,,,,,,,,,,,,,5,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,2,7,169969,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
2029/30,wp-sebastian-tremblay,Sebastian Tremblay,33,THA,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,7,7,7,7,7,103,,,,,7,0,89,89,91,89,87,99,59,16,45,7,3,4,42.857142857142854,0,,,,,,,63016,392,30,20,10,66.66666666666666,0,0,865292,"{""matches"":30,""wins"":20,""losses"":10,""draws"":0,""winPercentage"":66.66666666666666,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":865292,""points"":0}",,,,,,,,,,,,,,6,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,3,6,128344,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
2029/30,wp-jasper-barker,Jasper Barker,37,IRL,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,8,8,8,8,8,54,,,,,8,0,90,90,91,91,85,99,66,28,45,10,6,4,60,0,,,,,,,132102,821,41,29,12,70.73170731707317,0,0,1017999,"{""matches"":41,""wins"":29,""losses"":12,""draws"":0,""winPercentage"":70.73170731707317,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":1017999,""points"":0}",,,,,,,,,,,,,,7,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,6,12,267672,,0,false,,mainTour,mainTour,,,true,true,
2029/30,wp-viktor-rahman,Viktor Rahman,35,BEL,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,9,9,9,9,9,111,,,,,9,0,88,88,90,88,85,98,55,14,44,6,2,4,33.33333333333333,0,,,,,,,42203,262,29,18,11,62.06896551724138,0,0,848447,"{""matches"":29,""wins"":18,""losses"":11,""draws"":0,""winPercentage"":62.06896551724138,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":848447,""points"":0}",,,,,,,,,,,,,,8,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,2,4,86719,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
2029/30,wp-pavel-verma,Pavel Verma,32,BRA,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,10,10,10,10,10,92,,,,,10,0,89,89,91,89,87,99,62,13,44,6,3,3,50,0,,,,,,,65906,410,29,20,9,68.96551724137932,0,0,854874,"{""matches"":29,""wins"":20,""losses"":9,""draws"":0,""winPercentage"":68.96551724137932,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":854874,""points"":0}",,,,,,,,,,,,,,10,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,3,6,135281,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
