season,playerId,name,age,nationality,careerPhase,competitiveStatus,isHumanPlayer,isOnMainTour,isTourCardHolder,tourCardSource,tourCardYear,yearsRemaining,expiresAfterSeason,tourSurvivalStatus,seasonOpenWorldRank,seasonCloseWorldRank,normalizedWorldRank,rawWorldRankBeforeCap,worldRank,oneYearRank,amateurRank,qTourRank,qSchoolRank,seniorRank,previousWorldRank,rankChange,overall,potential,technicalAverage,mentalAverage,physicalAverage,effectiveMatchStrength,confidence,fatigue,reputation,seasonMatches,seasonWins,seasonLosses,seasonWinPercentage,seasonTitles,seasonMajorTitles,seasonWorldChampionshipEntries,seasonBestWorldChampionshipFinish,seasonMajorQuarterFinals,seasonMajorSemiFinals,seasonMajorFinals,seasonPrizeMoney,seasonRankingPoints,careerMatches,careerWins,careerLosses,careerWinPercentage,careerTitles,careerMajorTitles,careerPrizeMoney,totalRecord,youthRecord,amateurRecord,qTourRecord,qSchoolRecord,proQualifierRecord,rankingEventRecord,majorRecord,worldQualifyingRecord,worldMainDrawRecord,playersSeriesRecord,invitationalRecord,seniorRecord,exhibitionRecord,bestWorldRank,bestWorldChampionshipFinish,worldChampionshipMainDrawEligible,worldChampionshipMainDrawEntered,worldChampionshipQualifyingEntered,reasonSkippedWorldMainDraw,availableEventsCount,eligibleEventsCount,enteredEventsCount,rankingEventsEntered,qualifierEventsEntered,majorEventsEntered,invitationalsEntered,playersSeriesEntered,qTourEventsEntered,qSchoolEventsEntered,amateurEventsEntered,youthEventsEntered,seniorEventsEntered,skippedEligibleEventsCount,skippedCoreEventsCount,skippedReasonSummary,eventAccessBand,eventVolumeBandStatus,eventVolumeWarnings,calendarValidationWarnings,tourCardValidAtSeasonOpen,tourCardValidAtSeasonClose,lifecycleCorrectionApplied,rankCapApplied,recentSeasonWins,twoYearWins,twoYearPrizeMoney,majorFinalsLastTwoYears,titlesLastTwoYears,rankingDecayApplied,stalledReason,expectedCircuit,actualCircuit,warningFlags,invalidStateReasons,validTourStatus,validEventAccess,invalidAccessReason
2046/47,human-elliot-vance,Elliot Vance,71,England,Senior,Senior Tour / Legend Circuit,true,false,false,,0,0,,Amateur,999,999,999,999,999,,,,,2,999,0,60,60,59,83,8,82,99,0,100,7,3,4,42.857142857142854,0,0,0,No main draw win,0,0,0,32800,20,147,63,84,42.857142857142854,0,0,879200,"{""matches"":147,""wins"":63,""losses"":84,""draws"":0,""winPercentage"":42.857142857142854,""eventsEntered"":84,""titles"":0,""finals"":6,""prizeMoney"":879200,""points"":432}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}","{""matches"":147,""wins"":63,""losses"":84,""draws"":0,""winPercentage"":42.857142857142854,""eventsEntered"":84,""titles"":0,""finals"":6,""prizeMoney"":879200,""points"":432}","{""matches"":0,""wins"":0,""losses"":0,""draws"":0,""winPercentage"":0,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":0,""points"":0}",999,No main draw win,false,false,false,,104,14,4,0,0,0,0,0,0,0,0,0,4,10,0,10 eligible events not entered,Senior/Legend,too low,,,false,false,false,false,3,0,0,0,0,false,,amateur,senior,,,true,true,
2046/47,wp-bartosz-urban,Bartosz Urban,43,ITA,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,1,1,1,1,1,24,,,,,1,0,91,91,91,94,84,98,57,31,64,8,4,4,50,0,,,,,,,104930,652,231,160,71,69.26406926406926,0,0,4109223,"{""matches"":231,""wins"":160,""losses"":71,""draws"":0,""winPercentage"":69.26406926406926,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":4109223,""points"":0}",,,,,,,,,,,,,,1,,true,true,false,,104,21,15,8,0,6,7,1,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,4,9,228360,,0,false,,mainTour,mainTour,top4-low-wins-no-results,,true,true,
2046/47,wp-tobias-yates,Tobias Yates,43,NED,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,2,2,2,2,2,117,,,,,2,0,85,85,85,85,78,91,50,26,50,6,2,4,33.33333333333333,0,,,,,,,39602,246,129,59,70,45.73643410852713,0,0,1656859,"{""matches"":129,""wins"":59,""losses"":70,""draws"":0,""winPercentage"":45.73643410852713,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":1656859,""points"":0}",,,,,,,,,,,,,,2,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,2,3,61282,,0,false,,mainTour,mainTour,top16-low-overall-no-results;top4-low-wins-no-results,,true,true,
2046/47,wp-dylan-forster,Dylan Forster,44,PAK,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,3,3,3,3,3,31,,,,,3,0,90,90,90,92,82,96,58,36,59,9,5,4,55.55555555555556,0,,,,,,,121406,755,195,130,65,66.66666666666666,0,0,3397412,"{""matches"":195,""wins"":130,""losses"":65,""draws"":0,""winPercentage"":66.66666666666666,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":3397412,""points"":0}",,,,,,,,,,,,,,3,,true,true,false,,104,21,15,8,0,6,7,1,0,0,0,0,0,6,6,estimated from season exits versus eligible schedule | 6 eligible events not entered,Top 16,normal,,,true,true,false,false,5,10,242812,,0,false,,mainTour,mainTour,top4-low-wins-no-results,,true,true,
2046/47,wp-samir-kovacs,Samir Kovacs,43,GER,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,4,4,4,4,4,115,,,,,4,0,85,85,85,85,78,92,54,29,49,7,3,4,42.857142857142854,0,,,,,,,58680,365,129,60,69,46.51162790697674,0,0,1572186,"{""matches"":129,""wins"":60,""losses"":69,""draws"":0,""winPercentage"":46.51162790697674,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":1572186,""points"":0}",,,,,,,,,,,,,,4,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,3,5,99438,,0,false,,mainTour,mainTour,top16-low-overall-no-results;top4-low-wins-no-results,,true,true,
2046/47,wp-zac-rossi,Zac Rossi,42,NOR,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,5,5,5,5,5,128,,,,,5,0,84,84,84,83,78,90,46,22,47,5,1,4,20,0,,,,,,,18789,117,130,54,76,41.53846153846154,0,0,1310685,"{""matches"":130,""wins"":54,""losses"":76,""draws"":0,""winPercentage"":41.53846153846154,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":1310685,""points"":0}",,,,,,,,,,,,,,5,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,1,4,74578,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
2046/47,wp-niall-xu,Niall Xu,42,THA,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,9,9,6,9,6,94,,,,,9,3,86,86,86,86,80,93,55,27,49,7,3,4,42.857142857142854,0,,,,,,,63883,397,134,73,61,54.47761194029851,0,0,1797600,"{""matches"":134,""wins"":73,""losses"":61,""draws"":0,""winPercentage"":54.47761194029851,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":1797600,""points"":0}",,,,,,,,,,,,,,9,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,3,6,127766,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
2046/47,wp-yusuf-costa,Yusuf Costa,42,JPN,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,10,10,7,10,7,127,,,,,10,3,83,83,83,83,77,90,51,24,46,6,2,4,33.33333333333333,0,,,,,,,37578,234,133,57,76,42.857142857142854,0,0,1285822,"{""matches"":133,""wins"":57,""losses"":76,""draws"":0,""winPercentage"":42.857142857142854,""eventsEntered"":0,""titles"":0,""finals"":0,""prizeMoney"":1285822,""points"":0}",,,,,,,,,,,,,,10,,true,true,false,,104,20,15,8,0,6,7,0,0,0,0,0,0,5,5,estimated from season exits versus eligible schedule | 5 eligible events not entered,Top 16,normal,,,true,true,false,false,2,4,75156,,0,false,,mainTour,mainTour,top16-low-overall-no-results,,true,true,
2046/47,wp-adrian-janssen,Adrian Janssen,42,NIR,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,12,12,8,12,8,1,,,,,12,4,90,90,90,92,83,97,64,38,52,11,7,4,63.63636363636363,0,,,,,,,166500,1035,196,138,58,70.40816326530613,1,0,2032977,"{""matches"":196,""wins"":138,""losses"":58,""draws"":0,""winPercentage"":70.40816326530613,""eventsEntered"":0,""titles"":1,""finals"":0,""prizeMoney"":2032977,""points"":0}",,,,,,,,,,,,,,12,,true,true,false,,104,23,15,8,0,7,7,3,0,0,0,0,0,8,8,estimated from season exits versus eligible schedule | 8 eligible events not entered,Top 16,normal,,,true,true,false,false,7,15,351500,,0,false,,mainTour,mainTour,,,true,true,
2046/47,wp-adrian-petrov,Adrian Petrov,48,WAL,Veteran,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,13,13,9,13,9,2,,,,,13,4,89,89,88,91,78,92,58,54,60,13,8,5,61.53846153846154,0,,,,,,,184711,1148,271,190,81,70.11070110701108,1,0,3489275,"{""matches"":271,""wins"":190,""losses"":81,""draws"":0,""winPercentage"":70.11070110701108,""eventsEntered"":0,""titles"":1,""finals"":0,""prizeMoney"":3489275,""points"":0}",,,,,,,,,,,,,,13,,true,true,false,,104,23,15,8,0,7,7,3,0,0,0,0,0,8,8,estimated from season exits versus eligible schedule | 8 eligible events not entered,Top 16,normal,,,true,true,false,false,8,16,369422,,0,false,,mainTour,mainTour,,,true,true,
2046/47,wp-arlo-dawes,Arlo Dawes,35,BEL,Established,Top 16 Elite Player,false,true,true,Ranking Retained,0,0,,Top 16,14,14,10,14,10,3,,,,,14,4,90,90,92,94,86,99,72,27,59,11,8,3,72.72727272727273,1,,,,,,,258422,1491,234,172,62,73.50427350427351,1,0,3296183,"{""matches"":234,""wins"":172,""losses"":62,""draws"":0,""winPercentage"":73.50427350427351,""eventsEntered"":0,""titles"":1,""finals"":0,""prizeMoney"":3296183,""points"":0}",,,,,,,,,,,,,,14,,true,true,false,,104,23,15,8,0,7,7,3,0,0,0,0,0,8,8,estimated from season exits versus eligible schedule | 8 eligible events not entered,Top 16,normal,,,true,true,false,false,8,17,461344,,1,false,,mainTour,mainTour,,,true,true,
